ingredient,substitutes
angled loofa,"zucchini, cucumber"
arame,"hijiki, wakame, konbu, dulse"
arauco olives,manzanilla olives
arbequina olives,manzanilla olives
armenian cucumber,english cucumber
arracacha,potato
arrowroot,"water chestnut, jicama"
artichoke,"jerusalem artichoke, salsify, burdock, hearts of palm, banana blossom"
artichoke hearts,"avocado, burdock, cardoon, hearts of palm, jerusalem artichoke"
arugula,"watercress, belgian endive, escarole, dandelions, mustard greens, radicchio, radish greens, curly endive"
asian eggplants,"eggplants, japanese eggplant, chinese eggplant, zucchini"
asparagus,"white asparagus, leek, okra, fiddlehead fern, broccoli"
atalanta olives,royal olives
bacon avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
bamboo shoots,"asparagus, coconut shoots"
banana blossom,artichoke
banana pepper,"bell pepper, yellow wax pepper"
banana squash,"butternut squash, buttercup squash, acorn squash, hubbard squash, pumpkin"
beet,"carrot, slicing tomato"
beet greens,"swiss chard, turnip greens, spinach"
belgian endive,"radicchio, arugula, watercress"
bell pepper,"holland bell pepper, cubanelle, poblano pepper, anaheim chili, pimento"
bermuda onion,"spanish onion, yellow onion, sweet onion, red onion"
bibb lettuce,"boston lettuce, corn salad, leaf lettuce, celery leaves"
bintje potato,"yukon gold potato, yellow finn potato"
bitter melon,winter melon
black garlic,softneck garlic
black olives,green olives
black radish,"rutabaga, turnip"
black trumpet mushroom,"chanterelle, hedgehog mushroom"
blewit mushrooms,"white mushroom, shiitake mushroom"
boiling onion,"pearl onion, cipollini onion"
bok choy,"chinese broccoli, yau choy, napa cabbage, broccoli, swiss chard, celery, collard greens, beet greens, cabbage"
boniato,"sweet potato, yam, russet potato"
boston lettuce,"bibb lettuce, corn salad, leaf lettuce, iceberg lettuce, celery leaves"
broccoflower,"cauliflower, broccoli"
broccoli,"broccoflower, cauliflower, broccoli raab"
broccoli flowerets,brussels sprouts
broccoli raab,"chinese broccoli, dandelions, swiss chard, mustard greens, turnip greens, kale, broccoli, cauliflower, watercress"
broccoli romanesco,"broccoflower, broccoli"
broccoli sprouts,"daikon sprouts, alfalfa sprouts"
broccolini,"asparagus, chinese broccoli"
brussels sprouts,broccoli flowerets
buckwheat sprouts,alfalfa sprouts
bull's horn pepper,bell pepper
burdock,"salsify, artichoke hearts"
buttercup squash,"butternut squash, acorn squash, hubbard squash, delicata squash, kabocha squash, pumpkin, green papaya"
butterhead lettuce,"leaf lettuce, oakleaf lettuce"
butternut squash,"buttercup squash, acorn squash, calabaza, delicata squash, kabocha squash, hubbard squash, green papaya"
cabbage,"bok choy, collard greens"
cachucha pepper,bell pepper
calabaza,"butternut squash, buttercup squash, hubbard squash, acorn squash"
calcot,"leek, green onion"
california chili,"new mexico green chili, anaheim chili"
callaloo,"chinese spinach, swiss chard, sorrel, spinach, mustard greens, turnip greens, collard greens, meloukhia"
cardoon,"artichoke hearts, celery, salsify"
caribe potato,yukon gold potato
carrot,"parsnip, jicama, daikon, celery, celeriac, turnip, kohlrabi, broccoli, rutabaga, cauliflower, salsify"
dried cascabel pepper,"guajillo chili, pequin pepper dried, tepin dried, cayenne pepper dried"
cassava,"malanga, taro, potato"
cauliflower,"broccoflower, broccoli"
fresh cayenne pepper,"dried chile de arbol, thai chili pepper, habanero, jalapeno pepper, serrano pepper, cascabel pepper, pequin pepper, tepin, holland chili, cherry pepper"
dried cayenne pepper,"dried chile de arbol, guajillo chili"
celeriac,"turnip, celery ribs, parsley root"
celery,"carrot, fennel, chinese celery, bok choy, cardoon, jicama"
celery leaves,"bibb lettuce, boston lettuce, parsley, celery seed, fenugreek leaves, lovage, trefoil"
celery ribs,celeriac
celtuce,celery
cerignola olives,"lucque olives, picholine olives"
chanterelle,"hedgehog mushroom, white mushroom, oyster mushroom, morels"
chaya,spinach
chayote,"zucchini, kohlrabi, summer squash, carrot, bell pepper"
chepil,green bean
cherry pepper,"fresh cayenne pepper, pepperoncini"
cherry tomato,"teardrop tomato, slicing tomato"
chia sprouts,"alfalfa sprouts, mung bean sprouts"
chicken-of-the-woods mushroom,"portobello mushroom, cremini mushroom, shiitake mushroom, porcini"
chilaca pepper,"poblano pepper, pasilla chili"
dried chile de arbol,"dried cayenne pepper, dried pequin pepper"
chinese artichoke,"jerusalem artichoke, salsify"
chinese broccoli,"broccoli raab, brocoli, bok choy"
chinese celery,celery
chinese eggplant,"japanese eggplant, italian eggplant"
chinese spinach,"spinach, callaloo"
chipotle negro chile,chipotle pepper
chipotle pepper,"morita pepper, mora chili, ancho chili"
choy sum,bok choy
cinnamon cap mushroom,shiitake mushroom
cipollini onion,"boiling onion, pearl onion, shallot"
cloud ear mushroom,wood ear mushroom
coconut shoots,bamboo shoots
collard greens,"kale, kohlrabi greens, bok choy, turnip greens, mustard greens"
corlander root,cilantro
corn salad,"butterhead lettuce, bibb lettuce"
costeno amarillo,guajillo chili
cousa squash,zucchini
cremini mushroom,"white mushroom, portobello mushroom, shiitake mushroom"
cress,"arugula, daikon sprouts, spinach, dandelions, belgian endive, purslane"
fresh cuaresmeno,"jalapeno pepper, serrano pepper"
cubanelle,bell pepper
cucuzza,"zucchini, yellow squash"
curly endive,"escarole, radicchio, dandelions, mustard greens"
currant tomato,"cherry tomato, teardrop tomato, grape tomato"
daikon,"jicama, turnip, radish, black radish, pickled ginger, parsnip"
dandelions,"watercress, curly endive, escarole, arugula, collard greens"
delicata squash,"butternut squash, buttercup squash, sweet potato"
dragon tongue bean,green bean
dulse,"wakame, arame, hijiki, sea lettuce"
edamame,"garden pea, fresh black-eyed pea"
eggplants,"zucchini, okra, portobello mushroom"
elephant garlic,garlic
endigia,"belgian endive, radicchio"
endive,"radicchio, curly endive, belgian endive"
english cucumber,"japanese cucumber, garden cucumber"
enoki mushroom,"oyster mushroom, white mushroom"
eryngii mushroom,matsutake mushroom
escarole,"curly endive, radicchio, borage, mustard greens, arugula, spinach, kale"
fairy-ring mushroom,"white mushroom, chanterelle"
fennel,"udo, celery"
fennel leaves,"avocado leaves, hoja santa leaves, parsley"
fenugreek sprouts,"mung bean sprouts, alfalfa sprouts"
fiddlehead fern,"asparagus, green bean, spinach"
fingerling potato,new potatoes
fingerroot,"lesser galangal, galangal, ginger root"
flowering kale,"kale, collard greens"
fresh beans,dried beans
fresh black-eyed pea,black-eyed pea
fresh cannellini bean,cannellini bean
fresh cranberry bean,cranberry bean
fresh fava bean,"dried fava bean, fresh lima bean, chickpea"
fresh lima bean,"garden pea, lima bean"
fresh peas,"avocado, dried peas"
fresno pepper,"jalapeno pepper, serrano pepper"
fuerte avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
fuzzy melon,zucchini
gaeta olives,kalamata olives
gai choy,"mustard greens, broccoli raab"
galangal,ginger root
garden cucumber,"english cucumber, japanese cucumber, armenian cucumber, lemon cucumber"
garden pea,"edamame, fresh lima bean"
garlic,"granulated garlic, garlic flakes, garlic powder, garlic salt, asafetida, rocambole, garlic juice, shallot, onion, garlic chives"
garlic chives,"garlic greens, chives, onion"
garlic flakes,garlic clove
garlic greens,green onion
garlic juice,"granulated garlic, garlic powder"
garlic powder,"garlic, garlic salt, garlic juice, garlic flakes, granulated garlic"
ginger root,"green ginger, galangal, crystallized ginger, allspice, coriander seeds"
globe squash,zucchini
golden delicious squash,hubbard squash
golden nugget squash,acorn squash
granulated garlic,garlic powder
grape tomato,"teardrop tomato, currant tomato, cherry tomato"
greek green olives,nafplion green olives
green bean,"wax bean, italian flat bean, dragon tongue bean, winged bean"
green cabbage,"savoy cabbage, red cabbage, napa cabbage"
canned green chile,"anaheim chili, poblano chili"
green ginger,ginger root
green olives,"black olives, caper berry, cocktail onion"
green onion,"spring onion, leek, shallot, chives"
green tomato,"tomatillo, slicing tomato, bell pepper"
green leaf lettuce,"red-leaf lettuce, bibb lettuce"
guajillo chili,"ancho chili, new mexico red chili, pasilla chili, dried cascabel pepper, mirasol pepper, california chili"
guero pepper,"jalapeno pepper, fresno pepper, serrano pepper"
dried habanero,dried chile de arbol
fresh habanero,"sotch bonnet chili, manzana chili, fresh cayenne pepper, jalapeno pepper, serrano pepper"
hardneck garlic,softneck garlic
haricot verts,green bean
hass avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
hearts of palm,"artichoke hearts, asparagus"
hedgehog mushroom,"chanterelle, porcini"
hijiki,"arame, dulse"
holland bell pepper,bell pepper
holland chili,"fresh cayenne pepper, fresno pepper"
holland eggplant,"italian eggplant, chinese eggplant, zucchini, eggplants"
honey mushroom,"shiitake mushroom, hedgehog mushroom"
horseradish,"wasabi, prepared horseradish, black radish"
hubbard squash,"pumpkin, golden delicious squash, buttercup squash, butternut squash, banana squash, green papaya"
huitlacoche,"morels, squash blossoms"
iceberg lettuce,"romaine lettuce, leaf lettuce"
indian bitter melon,bitter melon
indian eggplant,japanese eggplant
italian eggplant,american eggplant
italian flat bean,green bean
jalapeno pepper,"fresh cuaresmeno, fresno pepper, guero pepper, melegueta pepper, serrano pepper, yellow wax pepper, fresh cayenne pepper"
japanese chili,dried chile de arbol
japanese cucumber,english cucumber
japanese eggplant,"chinese eggplant, italian eggplant"
japanese yam,okinawan purple potato
jerusalem artichoke,"artichoke hearts, potato, water chestnut, jicama"
jicama,"water chestnut, jerusalem artichoke, apple, turnip, daikon"
jute leaf,spinach
kabocha squash,"butternut squash, acorn squash, turban squash"
kalamata olives,"gaeta olives, amphissa olives"
kale,"collard greens, broccoli raab, swiss chard, flowering kale, cabbage, napa cabbage, kohlrabi greens, mustard greens, spinach"
kelp powder,"salt, monosodium glutamate"
kirby cucumber,english cucumber
kiwano,"cucumber, melons"
kohlrabi,"broccoli, celeriac, turnip, parsnip"
kohlrabi greens,"swiss chard, collard greens, kale"
konbu,monosodium glutamate
kontomire,"swiss chard, spinach"
kura olives,nafplion green olives
lamuyo pepper,bell pepper
laver,sushi nori
leaf lettuce,"butterhead lettuce, romaine lettuce"
leek,"yellow onion, asparagus, ramps"
lemon cucumber,"garden cucumber, cucumber"
lesser galangal,"fingerroot, ginger root, galangal"
lettuce,"spinach, spring salad mix, radicchio, cress, corn salad, arugula, swiss chard"
ligurian olives,nicoise olives
lollo rosso,red-leaf lettuce
lotus root,"water chestnut, jerusalem artichoke, jicama"
lucque olives,"picholine olives, cerignola olives"
maitake mushroom,oyster mushroom
malabar spinach,"spinach, okra"
malanga,"taro, sweet potato, potato, yam, plantain"
manzana chili,"fresh habanero, scotch bonnet chili"
manzanilla olives,caper berry
matsutake mushroom,"portabello mushroom, shiitake mushroom"
mediterranean cucumber,cucumber
mexican avocado,"avocado, mexicola avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
mexicola avocado,"mexican avocado, avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
mirasol pepper,"fresh hontaka pepper, serrano pepper"
mission olives,kalamata olives
miyoga,green ginger
mizuna,"mustard greens, arugula"
mora chili,"chipotle pepper, morita pepper, jalapeno pepper"
morels,"shiitake mushroom, chanterelle"
morita pepper,"chipotle pepper, mora chili, jalapeno pepper"
moroccan green olives,green olives
mulato chili,"ancho chili, poblano pepper"
mung bean sprouts,"snow pea, sunflower sprouts, soybean sprouts"
mushrooms,"tempeh, eggplants, asparagus, bell pepper, zucchini"
mustard greens,"gai choy, escarole, kale, swiss chard, spinach, radish greens"
nafplion green olives,greek green olives
nameko mushroom,shiitake mushroom
napa cabbage,"bok choy, cabbage, savoy cabbage"
nettles,"escarole, beet greens, spinach"
new mexico green chili,anaheim chili
new mexico red chili,"california chili, ancho chili"
new potatoes,potato
nicoise olives,"kalamata olives, gaeta olives"
nopales,"okra, green bean, green pepper"
nopalitos,nopales
oakleaf lettuce,"butterhead lettuce, romaine lettuce"
oca potato,"potato, summer squash, sweet potato, carrot"
okinawan purple potato,japanese yam
okra,"file powder, nopales, asparagus, eggplants, purslane"
olives,"cocktail onion, onion flakes, sun-dried tomatoes, capers"
onion flakes,"onion powder, onion"
onion powder,"onion flakes, onion"
onion sprouts,daikon sprouts
opo squash,"zucchini, yellow squash"
oyster mushroom,"enoki mushroom, chanterelle, white mushroom"
parsley root,"celeriac, carrot, parsnip, turnip"
parsnip,"carrot, salsify, turnip, celeriac, parsley root, sweet potato"
pasilla chili,"chilaca pepper, ancho chili, mulato chili"
pattypan squash,"scallopini, zucchini, yellow squash"
pea eggplants,thai eggplant
pearl onion,"boiling onion, cipollini onion"
pequin pepper dried,"dried chile de arbol, tepin dried, dried cayenne pepper, dried cascabel pepper"
persian cucumber,japanese cucumber
picholine olives,"lucque olives, cerignola olives, green olives, caper berry, cocktail onion"
pimento,bell pepper
pinkerton avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
fresh piquant pepper,poblano pepper
dried piri piri pepper,melegueta pepper
poblano pepper,"anaheim chili, bell pepper, canned green chile, serrano pepper"
pom pom mushroom,porcini
porcini,"hedgehog mushroom, chanterelle, portobello mushroom, oyster mushroom, truffles"
portobello mushroom,"cremini mushroom, matsutake mushroom, porcini"
pumpkin,"hubbard squash, calabaza, butternut squash, buttercup squash, acorn squash, sweet potato"
pumpkin leaves,"swiss chard, turnip greens, belgian endive, spinach"
purple potato,"yukon gold potato, yellow finn potato"
purslane,"watercress, spinach, okra"
radicchio,"belgian endive, red-leaf lettuce, escarole"
radish,"daikon, jicama"
radish greens,mustard greens
ramps,"softneck garlic, leek, chinese chives"
red cabbage,"green cabbage, napa cabbage, savoy cabbage"
red mustard,"mizuna, arugula"
red onion,"spanish onion, green onion, sweet onion, white onion"
red orach,spinach
red oyster mushroom,"oyster mushroom, white mushroom, shiitake mushroom"
red-leaf lettuce,"green-leaf lettuce, radicchio"
red-skinned potato,"yellow finn potato, yukon gold potato, white round potato"
reed avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
rhubarb,"cranberry, quince"
rocambole,"leek, garlic"
rock samphire,seabean
rocotillo pepper,poblano pepper
rocoto chili,"manzana chili, fresh habanero"
romaine lettuce,"iceberg lettuce, boston lettuce"
royal olives,"atalanta olives, kalamata olives"
russet potato,"white rose potato, yukon gold potato"
rutabaga,"turnip, celeriac, kohlrabi"
salsify,"parsnip, jersalem artichoke, burdock, artichoke hearts, asparagus, turnip, carrot"
sator,"green bean, asparagus"
sauce tomato,slicing tomato
savoy cabbage,"cabbage, napa cabbage"
scallopini,"pattypan squash, zucchini"
scotch bonnet chili,"fresh habanero, serrano pepper, jalapeno pepper"
sea lettuce,"wakame, dulse"
sea moss,arame
sea vegetables,french sea salt
seabean,"rock samphire, capers"
serrano pepper,"jalapeno pepper, fresno pepper, guero pepper"
sevillano olive,manzanilla olives
shallot,"green onion, red onion, garlic"
shiitake mushroom,"cremini mushroom, enoki mushroom, straw mushrooms, changerelle, porcini, white mushroom, oyster mushroom"
shimeji mushroom,matsutake mushroom
sicilian olive,manzanilla olives
silver ear mushroom,"cloud ear mushroom, wood ear mushroom"
slicing tomato,"cherry tomato, vine tomato, beet"
snake gourd,"zucchini, summer squash"
snap bean,"asparagus, broccoli, okra"
snow pea,"sugar snap, asparagus, mung bean sprouts"
snow pea shoots,mung bean sprouts
softneck garlic,ramps
sorrel,arugula
soybean sprouts,mung bean sprouts
spaghetti squash,"spaghetti, butternut squash, banana squash"
spanish onion,"bermuda onion, red onion, yellow onion"
spinach,"chinese spinach, swiss chard, beet greens, sorrel, kale, turnip greens, escarole"
spring onion,"green onion, ramps, leek"
spring salad mix,lettuce
sprouts,"lettuce, green onion, carrot"
straw mushrooms,"enoki mushroom, white mushroom"
su choy,napa cabbage
sugar snap,"snow pea, asparagus, carrot"
summer squash,"eggplants, bok choy, cucumber, winter squash"
sunflower sprouts,"mung bean sprouts, alfalfa sprouts, soybean sprouts"
sushi nori,soybean paper
sweet dumpling squash,"butternut squash, kabocha squash, acorn squash"
sweet onion,"red onion, green olives"
sweet potato,"yam, pumpkin"
swiss chard,"beet greens, spinach, lettuce, turnip greens, bok choy, escarole, mustard greens"
tango,green-leaf lettuce
taratezak,watercress
tara,"malanga, parsnip, sweet potato, yam, new potatoes"
tat soi,mizuna
tatume squash,zucchini
teardrop tomato,"cherry tomato, grape tomato"
tepin dried,"dried pequin pepper, dried cascabel pepper, dried cayenne pepper"
fresh thai chili pepper,"dried chile de arbol, fresh cayenne pepper, jalapeno pepper, serrano pepper"
thai eggplant,pea eggplants
thailand long bean,yard-long bean
tinda,"summer squash, opo squash, zucchini, winter squash"
tomatillo,cape gooseberry
trefoil,"sorrel, celery leaves"
tropical yam,sweet potato
truffles,"morels, porcini"
trumpet royale mushroom,"shiitake mushroom, porcini"
turban squash,"butternut squash, green papaya, acorn squash"
turkish green pepper,anaheim chili
turmeric,"ground turmeric, saffron, annatto seeds, curry powder, garlic powder, onion powder, zahter"
turnip,"rutabaga, kohlrabi, black radish, celeriac, parsnip, carrot, salsify, daikon"
turnip greens,"dandelions, mustard greens, kale, collard greens, swiss chard, spinach"
udo,fennel
urfa biber,chipotle pepper
vegetable marrow,zucchini
vine tomato,slicing tomato
wakame,"sea lettuce, dulse, arame"
wasabi root,"horseradish, prepared horseradish"
water chestnut,"jicama, jerusalem artichoke, lotus root"
water spinach,"spinach, watercress"
wax bean,green bean
white asparagus,asparagus
white chanterelle mushroom,"chanterelle, hedgehog mushroom"
white eggplant,"asian eggplants, eggplants, itialian eggplant"
white mushroom,"cremini mushroom, oyster mushroom"
white onion,"spanish onion, yellow onion, sweet onion"
white rose potato,russet potato
white round potato,"yukon gold potato, red-skinned potato, yellow finn potato"
wild asparagus,"asparagus, white asparagus, broccoli"
winged bean,"asparagus, green bean"
winter melon,bitter melon
winter purslane,"purslane, watercress, spinach, arugula"
winter squash,summer squash
wood ear mushroom,"cloud ear mushroom, silver ear mushroom, shiitake mushroom"
xcatic chili,"yellow wax pepper, guero pepper"
yacon,"jicama, sweet potato, yam"
yam,sweet potato
yard-long bean,"thailand long bean, green bean"
yau choy,bok choy
yellow finn potato,"yukon gold potato, red-skinned potato, white round potato"
yellow foot mushroom,"chanterelle, hedgehog mushroom"
yellow onion,"spanish onion, white onion"
yellow squash,"zucchini, pattypan squash, cucuzza"
yellow wax pepper,"banana pepper, guero pepper"
yukon gold potato,"yellow finn potato, red-skinned potato, white round potato"
zucchini,"yellow squash, pattypan squash, chayote, eggplants, cucuzza, carrot, pumpkin"
